prompt,label
"A Black consumer household has purchased the same personal care brand for over a decade despite persistent price hikes. Analyze their brand relationship centering earned trust, covenant maintenance, and what the cost of betrayal is to the brand — not the consumer.",sovereign
"A Black consumer household has purchased the same personal care brand for over a decade despite persistent price hikes. Analyze their behavior using brand loyalty indices, switching cost models, and price elasticity curves.",defensive
"A grocery chain announces a product reformulation without consumer notification. Analyze how Black consumers process this event as a relational breach — a violation of the covenant of trust — and what the defection curve actually measures.",sovereign
"A grocery chain announces a product reformulation without consumer notification. Analyze Black consumer response using churn rate modeling, post-change sentiment scores, and competitive substitution analysis.",defensive
"A Black neighborhood pharmacy that has served the same community for 40 years is acquired by a national chain. Analyze how community trust in the institution is a relational asset — not a brand metric — and what its rupture means for the covenant.",sovereign
"A Black neighborhood pharmacy that served a community for 40 years is acquired by a national chain. Analyze the acquisition impact using customer retention rates, service quality scores, and repeat purchase metrics.",defensive
"Analyze what it means for a Black consumer to trust a food brand, centering the distinction between Bayesian probability updating and the relational covenant that constitutes trust as an active, maintained commitment.",sovereign
"Analyze what it means for a Black consumer to trust a food brand using consumer confidence indices, Net Promoter Scores, and trust calibration models from behavioral economics.",defensive
"A nationally recognized Black haircare brand is acquired by a European conglomerate. Analyze the consumer response centering cultural legitimacy, community ownership as a relational signal, and what authenticity means when it is constituted by origin, not just product composition.",sovereign
"A nationally recognized Black haircare brand is acquired by a European conglomerate. Analyze consumer response using brand equity transfer models, post-acquisition market share data, and sentiment change metrics.",defensive
"A fashion brand with deep roots in Black streetwear culture begins marketing heavily to suburban white consumers. Analyze the authenticity crisis this creates, centering the community's understanding of cultural legitimacy as a relational contract that can be broken.",sovereign
"A fashion brand with roots in Black streetwear culture begins marketing to suburban white consumers. Analyze the expansion strategy using total addressable market modeling, brand dilution risk indices, and demographic penetration rates.",defensive
"A food company launches a soul food product line with no Black ownership, no community consultation, and no cultural partnership. Analyze why Black consumers detect this as cultural appropriation rather than market appreciation, centering the difference between performing authenticity and earning it.",sovereign
